knr,knavn,aar,pm2,Menn_ya_p,Kvinner_ya_p,Total_ya_p,Total_t,rel_inc_l,rel_inc_h,uni_k_mf,uni_k_m,uni_k_f,uni_l_mf,uni_l_m,uni_l_f,nytt_bareal,nytt_bareal_pp
0914,Tvedestrand,2013,16341,58.478552278820374,56.16883116883117,57.30540897097626,6064,2.5999999999999996,-6.899999999999999,19.5,16.1,22.8,3.6,4.4,2.9,2514,0.4145778364116095
0914,Tvedestrand,2014,15558,57.733333333333334,56.390977443609025,57.0556197392309,6059,1.5,-5.200000000000003,19.9,16.3,23.3,3.7,4.3,3,3175,0.5240138636738736
0914,Tvedestrand,2015,14145,57.43967828418231,56.16840731070496,56.79563492063492,6048,1.1999999999999993,-5.700000000000003,20.1,16.3,23.8,4.1,4.4,3.9,2740,0.453042328042328
0914,Tvedestrand,2016,17987,56.67556742323098,55.93108018555335,56.30196208846026,6014,1.5999999999999996,-5.200000000000003,20.7,16.9,24.6,4.2,4.6,3.9,5801,0.9645826405054871
0914,Tvedestrand,2017,20752,56.47291941875826,56.434005954349985,56.45347876384069,6051,2.3000000000000007,-6.200000000000003,21.1,17,25.3,4.3,4.6,4.1,5994,0.9905800694100149
0919,Froland,2006,10629,59.71074380165289,57.29522184300341,58.52225020990765,4764,-1.3000000000000007,-2.3000000000000007,12.6,10.1,15.2,1.8,2.7,0.8,4137,0.8683879093198993
0919,Froland,2007,10904,59.57184026348291,57.682403433476395,58.646774532464804,4759,0,-3.1000000000000014,13,10.3,15.7,1.9,2.7,1,3943,0.8285354065980248
0919,Froland,2008,11357,60.02415458937198,57.788096243140565,58.932618998557594,4853,-0.8999999999999986,-1.1999999999999993,13.1,10,16.2,2,2.7,1.2,6203,1.2781784463218628
0919,Froland,2009,13907,59.93615323224262,58.03347280334729,59.00735294117647,4896,-0.6000000000000014,-0.1999999999999993,13.3,10.1,16.7,2,2.7,1.3,4796,0.9795751633986928
0919,Froland,2010,12802,60.3515625,57.61670761670762,59.01639344262295,5002,0.1999999999999993,-0.20000000000000284,13.8,10.4,17.5,2.3,2.9,1.6,6763,1.3520591763294683
0919,Froland,2011,14318,59.475883023167484,57.65838011226945,58.591769065730446,5127,-1.6999999999999993,-0.7000000000000028,14.2,10.3,18.3,2.6,3.3,1.8,8519,1.6615954749366102
0919,Froland,2012,15707,59.12816691505216,58.4920326467159,58.816815674338976,5257,-0.6999999999999993,0.20000000000000284,14.9,10.6,19.3,2.5,3.4,1.6,6938,1.3197641240251095
0919,Froland,2013,14400,58.88252148997135,58.374477781997726,58.635944700460826,5425,-1.4000000000000004,0.10000000000000142,15.3,11.3,19.6,2.7,3.4,1.9,6299,1.16110599078341
0919,Froland,2014,14988,58.489897199574614,57.97373358348968,58.23915421071819,5486,-0.5,-1.2000000000000028,16,12,20.3,2.9,3.5,2.2,3313,0.6039008384979949
0919,Froland,2015,16060,59.21237693389592,57.84970238095239,58.550253073029644,5532,-1.8000000000000007,0.29999999999999716,16.5,11.9,21.4,2.9,3.7,2.2,3406,0.6156905278380332
0919,Froland,2016,14381,59.264399722414986,57.675438596491226,58.490566037735846,5618,-0.40000000000000036,-0.20000000000000284,16.6,12.3,21.1,3.3,3.8,2.8,4112,0.731933072267711
0919,Froland,2017,16043,59.15300546448088,57.84560143626572,58.5156660248556,5713,-0.6999999999999993,-1.2000000000000028,16.8,11.9,21.9,3.5,4.1,2.8,2937,0.5140906704008402
0926,Lillesand,2006,13932,59.39019001325674,59.48046181172292,59.435215946843854,9030,-3.3000000000000007,1.6999999999999993,20.6,17.4,23.8,5,6.8,3.1,2911,0.32236987818383167
0926,Lillesand,2007,16300,59.90359333917616,59.2959295929593,59.60039521352508,9109,-2,2.8999999999999986,21,17.7,24.3,5.5,7.4,3.6,4313,0.4734877593588758
0926,Lillesand,2008,18189,59.66386554621849,59.2342832281923,59.45009742368478,9238,-2.8999999999999986,4.800000000000001,21.4,18,24.8,5.7,7.3,4.1,7973,0.8630655986144187
0926,Lillesand,2009,19438,59.26558497011102,59.22497308934338,59.24536391896238,9329,-3.6000000000000014,4.800000000000001,21.7,17.7,25.7,5.9,7.6,4.3,3021,0.32382892057026474
0926,Lillesand,2010,22513,59.18238993710692,58.849840255591054,59.0174326465927,9465,-2.8000000000000007,3.799999999999997,22.2,18.2,26.1,6.3,7.9,4.7,4380,0.46275752773375595
0926,Lillesand,2011,23048,58.66093366093366,58.79063988403396,58.725419540821576,9713,-3.6999999999999993,3.299999999999997,22.7,18.6,26.8,6.5,7.9,5.1,6130,0.6311129414187172
0926,Lillesand,2012,23452,57.71555197421434,58.140008140008135,57.9267058108929,9878,-2.6999999999999993,4.200000000000003,23.2,18.6,27.7,6.7,8.1,5.2,3742,0.37882162381048795
0926,Lillesand,2013,21922,57.31272294887039,57.5812274368231,57.446172248803826,10032,-2.4000000000000004,4.100000000000001,23.3,18.9,27.6,7,8.4,5.6,7478,0.745414673046252
0926,Lillesand,2014,22696,56.841898011419566,56.872886413367816,56.857312487631106,10106,-2.5,3.799999999999997,23.4,18.8,28,7.4,8.8,5.9,6608,0.6538689887195726
